      Wavelength,  spectrum,    dark current
      1.56435      5538.00      5467.74
      1.56453      5704.00      5639.74
      1.56472      5505.00      5448.74
      1.56491      5717.00      5594.74
      1.56509      5598.00      5462.74
      1.56528      5778.00      5676.74
      1.56547      5691.00      5553.74
      1.56565      5838.00      5686.74
      1.56584      5585.00      5394.74
      1.56603      5705.00      5514.74
      1.56621      5947.00      5761.74
      1.56640      5764.00      5558.74
      1.56658      5777.00      5553.74
      1.56677      5610.00      5483.74
      1.56696      5734.00      5599.74
      1.56714      5596.00      5455.74
      1.56733      5846.00      5717.74
      1.56752      5775.00      5650.74
      1.56770      5524.00      5459.74
      1.56789      5814.00      5708.74
      1.56807      5608.00      5472.74
      1.56826      5727.00      5635.74
      1.56845      5632.00      5557.74
      1.56863      5693.00      5642.74
      1.56882      5675.00      5600.74
      1.56900      5612.00      5518.74
      1.56919      5554.00      5539.74
      1.56938      5749.00      5713.74
      1.56956      5618.00      5538.74
      1.56975      5661.00      5594.74
      1.56993      5707.00      5661.74
      1.57012      5622.00      5569.74
      1.57031      5561.00      5529.74
      1.57049      5787.00      5726.74
      1.57068      5606.00      5554.74
      1.57086      5742.00      5691.74
      1.57105      5683.00      5606.74
      1.57123      6074.00      5968.74
      1.57142      5592.00      5511.74
      1.57160      5727.00      5664.74
      1.57179      5614.00      5564.74
      1.57198      5732.00      5696.74
      1.57216      5615.00      5551.74
      1.57235      5760.00      5678.74
      1.57253      5669.00      5629.74
      1.57272      5670.00      5625.74
      1.57290      5607.00      5585.74
      1.57309      5717.00      5659.74
      1.57327      5585.00      5532.74
      1.57346      5795.00      5719.74
      1.57364      5619.00      5593.74
      1.57383      5632.00      5600.74
      1.57401      5596.00      5545.74
      1.57420      5728.00      5664.74
      1.57438      5668.00      5614.74
      1.57457      5737.00      5658.74
      1.57475      5699.00      5650.74
      1.57494      5647.00      5608.74
      1.57512      5560.00      5481.74
      1.57531      5727.00      5657.74
      1.57549      5740.00      5693.74
      1.57568      5672.00      5610.74
      1.57586      5648.00      5574.74
      1.57605      5682.00      5598.74
      1.57623      5605.00      5530.74
      1.57642      5730.00      5650.74
      1.57660      5677.00      5602.74
      1.57679      5645.00      5568.74
      1.57697      5690.00      5600.74
      1.57716      5725.00      5668.74
      1.57734      5609.00      5532.74
      1.57752      5862.00      5773.74
      1.57771      5757.00      5650.74
      1.57789      5592.00      5537.74
      1.57808      5823.00      5743.74
      1.57826      5670.00      5597.74
      1.57845      5650.00      5588.74
      1.57863      5794.00      5749.74
      1.57882      5545.00      5480.74
      1.57900      5849.00      5781.74
      1.57918      5579.00      5483.74
      1.57937      5831.00      5764.74
      1.57955      5640.00      5579.74
      1.57974      5779.00      5700.74
      1.57992      5760.00      5661.74
      1.58010      5791.00      5616.74
      1.58029      5798.00      5621.74
      1.58047      5862.00      5702.74
      1.58066      5798.00      5593.74
