#Datum: 21.01.2016 16:19:44
#Quelle: aspirin

#Daten:
cm-1;A
743;0.0156086052781343
744;0.0170218869348506
745;0.0187615309963036
746;0.0209041022692777
747;0.0235246683529071
748;0.0266928169643197
749;0.030464176565667
750;0.0348398588739738
751;0.0396332771448493
752;0.0442664607289749
753;0.0476983024327171
754;0.0487365581195003
755;0.0466956825042948
756;0.0418795427878369
757;0.0353897321939338
758;0.0285111368446604
759;0.0222698859749166
760;0.0172889707395032
761;0.0137691088630005
762;0.0115514986757803
763;0.0102814649299894
764;0.00959891503533994
765;0.00924942481002833
766;0.00908906200731141
767;0.0090405997811549
768;0.00906146716803402
769;0.00913172823858166
770;0.00924398309905805
771;0.00939251311974365
772;0.00957225792650163
773;0.00978514087085158
774;0.0100380548730061
775;0.0103321036285338
776;0.010663820860207
777;0.0110433229861246
778;0.0114996889384855
779;0.0120560044952278
780;0.0127082497518829
781;0.0134455302621481
782;0.0142879449755642
783;0.0152963606637218
784;0.0165622940531094
785;0.018202098364033
786;0.0203150987459491
787;0.0228596595370887
788;0.0255289026527714
789;0.0277975232765915
790;0.0291757185742343
791;0.0294768678631043
792;0.0288825797320196
793;0.0277877917444982
794;0.0265932856121791
795;0.0256043004082349
796;0.0250443000961491
797;0.0251007558152552
798;0.0259413575866678
799;0.0276882861718299
800;0.0303553629321536
801;0.0337298170014337
802;0.0371743489032781
803;0.0394915914831722
804;0.0392730014980023
805;0.0358572721436028
806;0.0299938090778864
807;0.0233441317796981
808;0.0174116119782104
809;0.0129281379248454
810;0.0099210220551671
811;0.00808555003517419
812;0.00707171924309025
813;0.00658693742213012
814;0.00642143240193782
815;0.00645646986907122
816;0.00663313461055193
817;0.00690451189904406
818;0.00723020079136361
819;0.00759755601249723
820;0.00801115089596771
821;0.00846319013643715
822;0.00893917816402001
823;0.00944548605868167
824;0.0100040708568776
825;0.0106233178388526
826;0.0112971541762377
827;0.0120304685246631
828;0.0128490979470031
829;0.0137939879652313
830;0.0149264428721436
