#Datum: 21.01.2016 16:19:44
#Quelle: teflon_spacer

#Daten:
cm-1 %T
1228 77,5353714072644
1229 77,7628200273508
1230 77,9865696567157
1231 78,2057855787302
1232 78,4279268245144
1233 78,6533206115534
1234 78,8777458114614
1235 79,1038962492402
1236 79,3356769289582
1237 79,5664164906704
1238 79,7867045507094
1239 79,9991450873742
1240 80,2123073099522
1241 80,42500368721
1242 80,6291896504644
1243 80,8233267209133
1244 81,0105810211945
1245 81,1889030434527
1246 81,3549201834036
1247 81,5129372681439
1248 81,6683996299857
1249 81,8164622231944
1250 81,9479546226243
1251 82,063044593615
1252 82,16864804183
1253 82,265988425472
1254 82,3508011052676
1255 82,4225200327468
1256 82,4835250337228
1257 82,5324645809598
1258 82,5673040752656
1259 82,5918337095084
1260 82,6103546687483
1261 82,6194401817182
1262 82,6138511595219
1263 82,5971461000005
1264 82,5768938884021
1265 82,5529503890847
1266 82,5201007123733
1267 82,4790622091664
1268 82,4351892243679
1269 82,3893302020571
1270 82,339721219457
1271 82,2897489682876
1272 82,2438050523821
1273 82,1990298368496
1274 82,1514377731973
1275 82,1067853770562
1276 82,0750457853757
1277 82,0571451748308
1278 82,0474403741238
1279 82,0462710406829
1280 82,0590440690874
1281 82,0858036151508
1282 82,1225461239325
1283 82,1708018149925
1284 82,2354721212052
1285 82,3156272395457
1286 82,4072087382993
1287 82,5118489226338
1288 82,6334301385047
1289 82,7689119651888
1290 82,912137257533
1291 83,0634921135608
1292 83,226730668819
1293 83,3999512226698
1294 83,5786249350478
1295 83,7638036893386
1296 83,9582973662879
1297 84,1581838266144
1298 84,3569313244918
1299 84,5547157604658
1300 84,7551344452764
1301 84,9561206174277
1302 85,1517472398525
1303 85,3402727478774
1304 85,5233275990786
1305 85,6994264584085
1306 85,8652938116791
1307 86,0210086239791
1308 86,1681474558695
1309 86,3043734811315
1310 86,4262712802258
1311 86,5342713240803
1312 86,6296812771617
1313 86,7095746816754
1314 86,7701268643033
1315 86,812972875607
1316 86,8423528583002
1317 86,8581751862238
1318 86,8575648185849
1319 86,841874185569
1320 86,8159471488435
1321 86,7815108160056
1322 86,7371992376253
1323 86,6844524223252
1324 86,6273208873418
1325 86,56661306673
1326 86,5000784429474
1327 86,4277065888658
1328 86,3523079093665
1329 86,2751142370967
1330 86,1970685802086
1331 86,1216819975594
1332 86,0518436609544
1333 85,9857634697761
1334 85,9214124338592
1335 85,8635460747216
1336 85,8204341564504
1337 85,7946110647186
1338 85,7809487851148
1339 85,7719692923059
1340 85,7610411185917
1341 85,7450803391687
1342 85,7298516320068
1343 85,7283380631345
1344 85,7488930536114
1345 85,787714687875
1346 85,8364600712108
1347 85,8930963243642
1348 85,9601453476694
1349 86,036283420566
1350 86,1182028044063
1351 86,206633218648
1352 86,30441050337
1353 86,4092284601651
1354 86,5177118796223
1355 86,6308864443142
1356 86,7511633899031
1357 86,8771023822159
1358 87,0052673475925
1359 87,1369762391234
1360 87,2763488418105
1361 87,421925865167
1362 87,5649315949901
1363 87,6961018349582
1364 87,8128202012139
1365 87,9202984854711
1366 88,0265903782744
1367 88,137378441808
1368 88,2524075004888
1369 88,3653768749002
1370 88,4702978603032
1371 88,5677870498129
1372 88,6619869870892
1373 88,7511057485044
1374 88,8290335313711
1375 88,8933538255061
1376 88,9484545676823
1377 88,9985545048727
1378 89,0415688342758
1379 89,0729634198066
1380 89,0909432659687
1381 89,0963721978395
1382 89,0891906694496
1383 89,0701587493743
1384 89,0442190421305
1385 89,0168675111237
1386 88,9847816918856
1387 88,9374476376104
1388 88,8693930100673
1389 88,7849185354249
1390 88,6924643271976
1391 88,5995278539139
1392 88,5105603483233
1393 88,4221942183676
1394 88,32459606374
1395 88,2143812816755
1396 88,1010137345277
1397 87,9926997834086
1398 87,8875780012573
1399 87,7815391124469
1400 87,6768967104946
1401 87,58082625359
1402 87,4979899481851
1403 87,4319011941267
1404 87,3846882078153
1405 87,3512050800532
1406 87,3223800713633
1407 87,2980836709336
1408 87,2881714177635
1409 87,2969844126395
1410 87,3205769182795
1411 87,3550747314553
1412 87,4009990032478
1413 87,4601090556133
1414 87,5319264809846
1415 87,6171666664281
1416 87,7177594767169
1417 87,8330460078484
1418 87,9604888429461
1419 88,0964185394755
1420 88,2317231826773
1421 88,3562976879456
1422 88,4746182192762
1423 88,6055901779417
1424 88,7561823582125
1425 88,9097381451725
1426 89,0504941521789
1427 89,181018829749
1428 89,3082943044699
1429 89,4279559418216
1430 89,5388024637079
1431 89,648468538274
1432 89,7568298255977
1433 89,8565029789497
1434 89,946852602488
1435 90,0325148910264
1436 90,1047478601387
1437 90,1468591892339
1438 90,159855240175
1439 90,1615658579206
1440 90,1637630903398
1441 90,1657058339848
1442 90,159689070645
1443 90,1405048921166
1444 90,1088482438367
