      Wavelength,  spectrum,    dark current
      1.56341      5596.00      5549.47
      1.56360      5521.00      5479.47
      1.56379      5588.00      5521.47
      1.56397      5599.00      5561.47
      1.56416      5672.00      5612.47
      1.56435      5559.00      5516.47
      1.56453      5644.00      5609.47
      1.56472      5546.00      5534.47
      1.56491      5618.00      5588.47
      1.56509      5568.00      5552.47
      1.56528      5619.00      5595.47
      1.56547      5624.00      5544.47
      1.56565      5734.00      5620.47
      1.56584      5653.00      5474.47
      1.56603      5676.00      5550.47
      1.56621      5753.00      5625.47
      1.56640      5724.00      5606.47
      1.56658      5666.00      5580.47
      1.56677      5651.00      5567.47
      1.56696      5637.00      5550.47
      1.56714      5642.00      5595.47
      1.56733      5661.00      5639.47
      1.56752      5667.00      5626.47
      1.56770      5575.00      5559.47
      1.56789      5682.00      5667.47
      1.56807      5553.00      5542.47
      1.56826      5625.00      5616.47
      1.56845      5596.00      5561.47
      1.56863      5625.00      5589.47
      1.56882      5622.00      5603.47
      1.56900      5590.00      5560.47
      1.56919      5516.00      5518.47
      1.56938      5655.00      5650.47
      1.56956      5609.00      5606.47
      1.56975      5590.00      5585.47
      1.56993      5567.00      5593.47
      1.57012      5566.00      5600.47
      1.57031      5577.00      5553.47
      1.57049      5662.00      5673.47
      1.57068      5562.00      5545.47
      1.57086      5666.00      5687.47
      1.57105      5607.00      5615.47
      1.57123      5724.00      5730.47
      1.57142      5562.00      5574.47
      1.57160      5632.00      5617.47
      1.57179      5566.00      5568.47
      1.57198      5624.00      5626.47
      1.57216      5611.00      5661.47
      1.57235      5632.00      5662.47
      1.57253      5590.00      5604.47
      1.57272      5613.00      5645.47
      1.57290      5543.00      5546.47
      1.57309      5642.00      5664.47
      1.57327      5490.00      5518.47
      1.57346      5669.00      5670.47
      1.57364      5537.00      5572.47
      1.57383      5623.00      5636.47
      1.57401      5562.00      5571.47
      1.57420      5611.00      5628.47
      1.57438      5606.00      5625.47
      1.57457      5645.00      5635.47
      1.57475      5568.00      5578.47
      1.57494      5645.00      5656.47
      1.57512      5512.00      5522.47
      1.57531      5632.00      5620.47
      1.57549      5645.00      5644.47
      1.57568      5592.00      5601.47
      1.57586      5620.00      5611.47
      1.57605      5619.00      5599.47
      1.57623      5531.00      5549.47
      1.57642      5710.00      5686.47
      1.57660      5620.00      5604.47
      1.57679      5587.00      5580.47
      1.57697      5623.00      5601.47
      1.57716      5662.00      5657.47
      1.57734      5538.00      5530.47
      1.57752      5767.00      5778.47
      1.57771      5619.00      5617.47
      1.57789      5587.00      5587.47
      1.57808      5671.00      5673.47
      1.57826      5633.00      5638.47
      1.57845      5626.00      5650.47
      1.57863      5629.00      5633.47
      1.57882      5556.00      5542.47
      1.57900      5693.00      5674.47
      1.57918      5563.00      5547.47
      1.57937      5719.00      5705.47
      1.57955      5583.00      5592.47
      1.57974      5664.00      5639.47
      1.57992      5670.00      5655.47
      1.58010      5646.00      5643.47
      1.58029      5653.00      5620.47
      1.58047      5735.00      5622.47
      1.58066      5723.00      5617.47
      1.58084      5849.00      5665.47
      1.58102      5749.00      5558.47
      1.58121      5791.00      5576.47
      1.58139      5777.00      5595.47
      1.58158      5792.00      5655.47
      1.58176      5770.00      5600.47
      1.58194      5774.00      5631.47
      1.58213      5721.00      5620.47
      1.58231      5746.00      5658.47
      1.58250      5693.00      5644.47
      1.58268      5783.00      5703.47
      1.58286      5761.00      5663.47
      1.58305      5691.00      5571.47
      1.58323      5778.00      5531.47
      1.58341      6011.00      5723.47
      1.58360      5950.00      5660.47
      1.58378      5934.00      5715.47
      1.58396      5815.00      5630.47
      1.58415      5781.00      5599.47
      1.58433      5777.00      5632.47
      1.58451      5756.00      5583.47
      1.58470      5817.00      5658.47
      1.58488      5868.00      5682.47
      1.58506      5749.00      5587.47
      1.58525      5803.00      5653.47
      1.58543      5793.00      5657.47
      1.58561      5815.00      5688.47
      1.58580      5753.00      5666.47
      1.58598      5901.00      5780.47
      1.58616      5778.00      5696.47
      1.58635      5782.00      5688.47
      1.58653      5763.00      5702.47
      1.58671      5769.00      5697.47
      1.58689      5694.00      5630.47
      1.58708      5818.00      5747.47
      1.58726      5722.00      5658.47
      1.58744      5769.00      5678.47
      1.58763      5763.00      5711.47
      1.58781      5752.00      5689.47
      1.58799      5696.00      5684.47
      1.58817      5734.00      5703.47
      1.58836      5696.00      5643.47
      1.58854      5774.00      5742.47
      1.58872      5727.00      5688.47
      1.58891      5738.00      5690.47
      1.58909      5744.00      5717.47
      1.58927      5703.00      5699.47
      1.58945      5756.00      5711.47
      1.58964      5767.00      5716.47
